                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.36893,                0.56274,                0.93929,                0.91781,                0.86022,                0.90556,                0.88087,                0.28272,                0.44019,                0.86536,             0.00018163,             0.00018163,             0.00018163
                      2,                0.40338,                0.54451,                0.94907,                0.92919,                0.86471,                0.92192,                 0.8871,                0.31537,                 0.4439,                0.86324,             0.00035969,             0.00035969,             0.00035969
                      3,                 0.4085,                0.52022,                0.93629,                0.89213,                0.83301,                0.92547,                 0.8783,                0.34095,                0.45179,                0.87972,             0.00053042,             0.00053042,             0.00053042
                      4,                0.44363,                 0.5786,                0.95147,                 0.9374,                0.86903,                0.93656,                0.89344,                0.35222,                0.43947,                 0.8962,             0.00052297,             0.00052297,             0.00052297
                      5,                0.43821,                0.53901,                0.95619,                0.94468,                0.86283,                0.94576,                 0.8974,                0.35266,                0.43298,                0.89113,             0.00051196,             0.00051196,             0.00051196
                      6,                0.45157,                0.51908,                0.95187,                0.91036,                0.81621,                0.91275,                0.86926,                0.35246,                0.46838,                0.89191,             0.00050096,             0.00050096,             0.00050096
                      7,                0.43416,                0.53222,                0.95521,                0.93823,                0.81752,                0.92978,                0.87924,                 0.3689,                 0.4592,                0.89229,             0.00048995,             0.00048995,             0.00048995
                      8,                0.43468,                0.53577,                0.95648,                0.87549,                0.88588,                0.92588,                0.87483,                0.37564,                0.45296,                0.90052,             0.00047894,             0.00047894,             0.00047894
                      9,                0.43606,                0.49491,                0.94033,                0.91531,                0.85812,                0.93065,                0.87817,                0.36771,                0.47697,                0.89903,             0.00046793,             0.00046793,             0.00046793
                     10,                 0.4328,                0.46625,                0.94168,                0.95717,                0.86326,                0.94113,                0.88715,                0.35145,                0.42711,                0.88912,             0.00045692,             0.00045692,             0.00045692
                     11,                0.42881,                0.47791,                0.94772,                0.90342,                0.87677,                0.94539,                 0.8893,                0.36145,                 0.4608,                 0.8919,             0.00044591,             0.00044591,             0.00044591
                     12,                0.41763,                0.48744,                0.93376,                0.93325,                0.88996,                0.94727,                0.89601,                0.34595,                 0.4124,                0.87571,              0.0004349,              0.0004349,              0.0004349
                     13,                0.42312,                0.46805,                 0.9409,                0.92543,                0.86901,                0.94845,                0.89228,                0.35865,                0.42048,                0.87966,             0.00042389,             0.00042389,             0.00042389
                     14,                0.40832,                0.45172,                0.92792,                0.93829,                0.89821,                0.96049,                0.91403,                0.34199,                0.38478,                0.87407,             0.00041289,             0.00041289,             0.00041289
